approval_no,name,company_name,country,region,city,address,latitude,longitude,geocode_confidence,geocode_formatted,scope,primary_species,email,phone,website,business_no,status,verified,verification_level,admin_notes
M94,Atlantic Dawn Seafoods As (Mattilsynet #M94),Atlantic Dawn Seafoods As,Norway,,Smøla,"Vikan Industriområde 96, 6570 Smøla, Norway",63.3755111,8.2030725,8,"Vikan industriområde, Vikan, Møre og Romsdal, Norway","FFPP, FFPP-P, PP",,,,,885796532,approved,true,documentation_verified,"Mattilsynet approved establishment #M94. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant. Business #885796532."
M96,Kongshaug Krabbe As (Mattilsynet #M96),Kongshaug Krabbe As,Norway,,Smøla,"Hestøya, 6570 Smøla, Norway",63.3042699,8.0837948,8,"Hestøya, Smøla, Møre og Romsdal, Norway","FFPP, FFPP-P, PP-C",,,,,916295391,approved,true,documentation_verified,"Mattilsynet approved establishment #M96. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant - crustacean. Business #916295391."
M116,Lofotkompaniet As (Mattilsynet #M116),Lofotkompaniet As,Norway,,Kristiansund N,"Skippergata 27, 6507 Kristiansund N, Norway",63.108473,7.74203,10,"Skippergata 27, 6507 Kristiansund, Norway",RW,,,,,971797053,approved,true,documentation_verified,Mattilsynet approved establishment #M116. Scope: Rewrapping/relabelling. Business #971797053.
M129,Lm Processing As (Mattilsynet #M129),Lm Processing As,Norway,,Frei,"Vågahammeren 6, 6520 Frei, Norway",63.0895679,7.8037861,10,"Vågahammeren 6, 6520 Frei, Norway",FFPP-P,,,,,972096237,approved,true,documentation_verified,Mattilsynet approved establishment #M129. Scope: Fresh fishery products processing - pelagic. Business #972096237.
M132,Fortuna Oils As (Mattilsynet #M132),Fortuna Oils As,Norway,,Kristiansund N,"Fiskeribasen 5, 6512 Kristiansund N, Norway",63.121433,7.760072,10,"Fiskeribasen 5, 6512 Kristiansund, Norway",PP-MA,,,,,987152303,approved,true,documentation_verified,Mattilsynet approved establishment #M132. Scope: Processing plant - marine animal products. Business #987152303.
M150,Peder B. Sørvik As (Mattilsynet #M150),Peder B. Sørvik As,Norway,,Averøy,"Reksundveien 424, 6533 Averøy, Norway",63.0726638,7.4922108,10,"Reksundveien 424, 6533 Averøy, Norway","FFPP, PP, PP-KL, PP-SA, PP-ST",,,,,971779446,approved,true,documentation_verified,"Mattilsynet approved establishment #M150. Scope: Fresh fishery products processing, Processing plant, PP-KL, PP-SA, Processing plant - smoked/traditional. Business #971779446."
M152,Ole Løvold As (Mattilsynet #M152),Ole Løvold As,Norway,,Averøy,"Langøyneset, 6530 Averøy, Norway",63.0638045,7.4980139,7,"6533 Averøy, Norway","FFPP, FFPP-P, PP, PP-KL, PP-SA",,,,,971896965,approved,true,documentation_verified,"Mattilsynet approved establishment #M152. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-KL, PP-SA. Business #971896965."
M155,Sigurd Folland As (Mattilsynet #M155),Sigurd Folland As,Norway,,Averøy,"Reksundveien 207, 6533 Averøy, Norway",63.0685458,7.4901615,10,"Reksundveien 207, 6533 Averøy, Norway",FFPP,,,,,971689064,approved,true,documentation_verified,Mattilsynet approved establishment #M155. Scope: Fresh fishery products processing. Business #971689064.
M157,Jangaard Export As Avd Nordmøre (Mattilsynet #M157),Jangaard Export As Avd Nordmøre,Norway,,Averøy,"nan, 6530 Averøy, Norway",63.0808202,7.6314048,7,"6530 Averøy, Norway","FFPP, FFPP-P, PP, PP-KL, PP-SA, PP-ST",,,,,972002003,approved,true,documentation_verified,"Mattilsynet approved establishment #M157. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-KL, PP-SA, Processing plant - smoked/traditional. Business #972002003."
M158,Edward Johnsen As (Mattilsynet #M158),Edward Johnsen As,Norway,,Averøy,"nan, 6530 Averøy, Norway",63.0808202,7.6314048,7,"6530 Averøy, Norway","FFPP, FFPP-P, PP",,,,,971715979,approved,true,documentation_verified,"Mattilsynet approved establishment #M158. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant. Business #971715979."
M161,Jangaard Export As Avd Nordmøre (Mattilsynet #M161),Jangaard Export As Avd Nordmøre,Norway,,Averøy,"nan, 6530 Averøy, Norway",63.0808202,7.6314048,7,"6530 Averøy, Norway","FFPP, FFPP-P, PP, PP-KL, PP-SA, PP-ST",,,,,972002003,approved,true,documentation_verified,"Mattilsynet approved establishment #M161. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-KL, PP-SA, Processing plant - smoked/traditional. Business #972002003."
M162,Strømsholm Fiskeindustri As (Mattilsynet #M162),Strømsholm Fiskeindustri As,Norway,,Tustna,"Tømmervåg, 6590 Tustna, Norway",63.16172,8.10915,9,"Tustna, Aure, Møre og Romsdal fylke, Norway","FFPP, FFPP-P, PP, PP-KL, PP-SA",,,,,874154172,approved,true,documentation_verified,"Mattilsynet approved establishment #M162. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, Processing plant, PP-KL, PP-SA. Business #874154172."
M168,Pure Norwegian Seafood As (Mattilsynet #M168),Pure Norwegian Seafood As,Norway,,Averøy,"Hendnesveien 99, 6533 Averøy, Norway",63.0575569,7.5135747,10,"Hendnesveien 99, 6533 Averøy, Norway","FFPP, FFPP-P, FFPP-S, FFPP-SA",,,,,972277959,approved,true,documentation_verified,"Mattilsynet approved establishment #M168. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, FFPP-S, Fresh fishery products processing - salmon/aquaculture. Business #972277959."
M190,Romsdal Processing As (Mattilsynet #M190),Romsdal Processing As,Norway,,Midsund,"Utsidevegen 21, 6475 Midsund, Norway",62.6730752,6.6669135,10,"Utsidevegen 21, 6475 Midsund, Norway",FFPP-P,,,,,989292994,approved,true,documentation_verified,Mattilsynet approved establishment #M190. Scope: Fresh fishery products processing - pelagic. Business #989292994.
M198,As Møre Codfish Comp Avd Bud (Mattilsynet #M198),As Møre Codfish Comp Avd Bud,Norway,,Bud,"Kaivegen 12, 6430 Bud, Norway",62.9058193,6.9096652,10,"Kaivegen 12, 6430 Bud, Norway","FFPP, FFPP-P, PP-KL, PP-SA",,,,,982495725,approved,true,documentation_verified,"Mattilsynet approved establishment #M198. Scope: Fresh fishery products processing, Fresh fishery products processing - pelagic, PP-KL, PP-SA. Business #982495725."
