approval_no,plant_name,company,address,town_region,country,scope,expiry_date,business_no
N1206,Vega Delikatesser As,Vega Delikatesser As,"Igerøy, 8980.0 Vega, Norway",Vega,Norway,"FFPP-P, PP-KL, PP-SA, PP-ST",,876232332.0
N1302,Ole Lars Kildal,Ole Lars Kildal,"Kjeldal 95, 8170.0 Engavågen, Norway",Engavågen,Norway,PP-ST,,nan
N1303,Eddie Even Kildal,Eddie Even Kildal,"Skogmo 9, 8178.0 Halsa, Norway",Halsa,Norway,PP-ST,,nan
N1307,Wiggo Nygård,Wiggo Nygård,"Nyveien 23, 8149.0 Neverdal, Norway",Neverdal,Norway,PP-ST,,nan
N1310,Jim Lorentzen,Jim Lorentzen,"Vikran 11, 8198.0 Nordnesøy, Norway",Nordnesøy,Norway,"FFPP, PP, PP-ST",,986688269.0
N1409,Fredriksen Roar,Fredriksen Roar,"Bergvn. 69, 8520.0 Ankenesstrand, Norway",Ankenesstrand,Norway,FFPP-P,,978111912.0
N2063,Fleinvær Fiskemottak As,Fleinvær Fiskemottak As,"Fleinvær, 8094.0 Fleinvær, Norway",Fleinvær,Norway,"FFPP, FFPP-P",,976392353.0
N2141,Polarmat As,Polarmat As,"nan, 8750.0 Tonnes, Norway",Tonnes,Norway,PP,,919379790.0
N2156,Villmarksprodukter Da,Villmarksprodukter Da,"O.T. Olsens Vei 2 D, 8690.0 Hattfjelldal, Norway",Hattfjelldal,Norway,"FFPP-P, PP",,988746428.0
N2157,Håvard Reløy,Håvard Reløy,"Håvard Reløy, 8766.0 Lurøy, Norway",Lurøy,Norway,PP-ST,,993914177.0
N2158,Reløy Sigurd M,Reløy Sigurd M,"Onøy, 8766.0 Lurøy, Norway",Lurøy,Norway,PP-ST,,978204961.0
N2159,Olsen Terje L,Olsen Terje L,"Onøy, 8766.0 Lurøy, Norway",Lurøy,Norway,PP-ST,,970195130.0
N2160,Olsen Terje L,Olsen Terje L,"Onøy, 8766.0 Lurøy, Norway",Lurøy,Norway,PP-ST,,970195130.0
N2163,Wiggo Johansen,Wiggo Johansen,"Onøy, 8766.0 Lurøy, Norway",Lurøy,Norway,PP-ST,,989856669.0
N2165,Tangen Produkter,Tangen Produkter,"Drag, 8270.0 Drag, Norway",Drag,Norway,"FFPP, PP",,987582286.0
N2166,Nargtind As,Nargtind As,"Onøy, 8766.0 Lurøy, Norway",Lurøy,Norway,PP-ST,,999354394.0
N2173,The Qrill Company As Avd Stamsund,The Qrill Company As Avd Stamsund,"J.M.Johansens Vei 99, 8340.0 Stamsund, Norway",Stamsund,Norway,"PP-C, PP-MA",,988364754.0
N2181,Jann Breivik,Jann Breivik,"Breivik, 8186.0 Tjongsfjorden, Norway",Tjongsfjorden,Norway,PP-ST,,nan
N2182,Hans Urskog,Hans Urskog,"Sunset, 8185.0 Vågaholmen, Norway",Vågaholmen,Norway,PP-ST,,nan
N2184,Torleif Peder Urskog,Torleif Peder Urskog,"nan, 8187.0 Jektvik, Norway",Jektvik,Norway,PP-ST,,nan
N2186,Rørvik Fisk As,Rørvik Fisk As,"Fryseriet, 7900.0 Rørvik, Norway",Rørvik,Norway,FFPP,,884084652.0
N2189,Meløy Videregående Skole Avd Inndyr,Meløy Videregående Skole Avd Inndyr,"Inndyr 455, 8140.0 Inndyr, Norway",Inndyr,Norway,"FFPP, FFPP-P, FFPP-S, FFPP-SA, PP, PP-ST",,874621412.0
N2196,Per-Otto Davidsen,Per-Otto Davidsen,"nan, 8732.0 Aldra, Norway",Aldra,Norway,PP-ST,,995415631.0
N2204,Nordland Havfiske As,Nordland Havfiske As,"Buøyveien 7, 8340.0 Stamsund, Norway",Stamsund,Norway,PP-MA,,973234676.0
N2205,Svein Larsen,Svein Larsen,"Flostrandveien 342, 8725.0 Utskarpen, Norway",Utskarpen,Norway,"FFPP, FFPP-P, PP-SA, PP-ST",,914287332.0
N2207,Frank Pedersen,Frank Pedersen,"Selhaugveien 6, 8093.0 Kjerringøy, Norway",Kjerringøy,Norway,"FFPP, FFPP-P",,987801166.0
N2224,Lene Engvik Rasch,Lene Engvik Rasch,"Sperstadveien 152, 8187.0 Jektvik, Norway",Jektvik,Norway,PP-ST,,972508535.0
N2228,Myre Fiskemottak As Avd Myre,Myre Fiskemottak As Avd Myre,"Bolstads Vei 15, 8430.0 Myre, Norway",Myre,Norway,"FFPP, PP, PP-ST",,989281682.0
N2230,Karl-Arne Kristiansen,Karl-Arne Kristiansen,"Mærvollveien 75, 8360.0 Bøstad, Norway",Bøstad,Norway,PP-ST,,nan
N2240,Anne Marie As,Anne Marie As,"Losbakken 1, 8320.0 Skrova, Norway",Skrova,Norway,"FFPP, FFPP-P",,997987934.0
N2243,Myhres Røkeri As,Myhres Røkeri As,"Mellomveien 13, 8430.0 Myre, Norway",Myre,Norway,RW,,913200497.0
N2256,Reidar Johansen,Reidar Johansen,"Sperstadveien 34, 8187.0 Jektvik, Norway",Jektvik,Norway,PP-ST,,978240887.0
N2257,Futurum Seafood As Avd Henningsvær,Futurum Seafood As Avd Henningsvær,"Dreyers Gate 17, 8312.0 Henningsvær, Norway",Henningsvær,Norway,"FFPP, FFPP-P",,916279884.0
N2275,Primex Norway As,Primex Norway As,"Havnegaten 1, 8430.0 Myre, Norway",Myre,Norway,"FFPP, FFPP-P, MSM, PP",,986662839.0
