NOM DE L'ETABLISSEMENT,ADRESSE,PROVINCE/SERVICE PROVINCIAL/PORT D'ATTACHE,NUMERO AGREMENT/AUTORISATION,ACTIVITE DE L'ETABLISSEMENT,TYPE D'ACTIVITE
SAHARA SEALAN FOOD,N° 112 A2 ZONE INDUSTRIELLE TASSILA- INEZGANE-AIT MELLOUL,AGADIR,PP.26.0241.20,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION ET FILETAGE DES PRODUITS DE LA PECHE ET STOCKAGE DE SES PROPRES PRODUITS DE LA PECHE A L'ETAT CONGELE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SAIF AL BAHR,"N° 43, RUE AL KHOUZAMA, QUARTIER LA GIRONDE CASABLANCA",CASABLANCA,PP.5.5446.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SAIF AL BAHR ENTREPOSAGE,"N° 43, RUE AL KHOUZAMA, QUARTIER LA GIRONDE CASABLANCA",CASABLANCA,PEF.5.0171.18,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
SAITO,QI N° 35 TASSILLA D'CHEIRA EL JIHADIA INEZGANE AGADIR,AGADIR,2372,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SALYM MENARA SERVICE,N° 9 ZONE INDUSTRIELLE AL MAAZOUZIA SIDI GHANEM MARRAKECH,MARRAKECH,PP.19.0105.16,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SALYM MENARA SERVICE 2,N°9 ZONE INDUSTRIELLE AL MAAZOUZIA SIDI GHANEM MARRAKECH,MARRAKECH,PEF.19.0106.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
SAMAK ANWAL,N° 7 PORT DE BENI NSAR NADOR,NADOR,3191,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SAMAK ANWAL,N° 7 PORT DE BENI NSAR NADOR,NADOR,PEF.50.0159.18,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
SAMAK BEN PROJET,"ZI LOT 2263, LOTISSEMENT OULED ZAERS, AIN AOUDA",RABAT (AIN AOUDA),PP.1.0232.19,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, ETETAGE ET EVISCERATION, FILETAGE, ET CONGELATION","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SAMAK BEN PROJET ENTREPOSAGE,"ZI LOT 2263, LOTISSEMENT OULED ZAERS, AIN AOUDA",RABAT (AIN AOUDA),PEF.1.0233.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
SAMARA,QUARTIER INDUSTRIEL ESSAOUIRA,ESSAOUIRA,4521,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SAREX,ROUTE DU DJORF EL YOUDI BP 294 SAFI,SAFI,3516,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SARGA FRIGO,ZI AVENUE MOHAMED V DAKHLA,DAKHLA,PP.74.2500.19,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SARGA FRIGO II,ZI LOT N°1 DAKHLA,DAKHLA,3437,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SAVEUR DE L'OCEAN,ROUTE DE TETOUAN Z I 3éme RUE N° 85 90000 TANGER,TANGER,4577,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SCANDIMAR,LOT 14 ZI SUD OUEST MOHAMMEDIA,MOHAMMADIA,4188,"CONGELATION, Conditionnement des produits de la pêche à l'état frais, Fumage, Séchage, congélation de la chair de crabe cuite, Emulsion de poisson en conserve, boulettes de poisson en conserve et Terrine de poisson en semiconserve","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SELECT FISH,"LOT N° B775 QUARTIER 9INDUSTRIEL, INZGANE-AIT MELLOUL",AGADIR,PP.26.0246.20,CONDITIONNEMENT ET FILETAGE DE POISSON FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SEPOMER SAHARA 2,"ZONE INDUSTRIELLE EL MARSA,LAAYOUNE",LAAYOUNE,PP.71.0185.18,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SCERO,"ZONE INDUSTRIELLE, ROUTE DE DJORF ELYOUDI SAFI",SAFI,PP.52.0016.14,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SERCODA,ZI N 1 DAKHLA,DAKHLA,2381,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SHRIMPALIDA,12 Z.I OUJDA,OUJDA,4275,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SHRIMPMADELEINE,"Z.I N° 40 BP 6000 SELOUANE,NADOR",NADOR,6099,DECORTICAGE DES CREVETTES ET CONGELATION DES CREVETTES DECORTIQUESET CONGELATION DU CALAMAR,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SIALCO,QI ANZA BP 6294 ANZA 80002 AGADIR,AGADIR,1898,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
BINEG,ANCIEN PORT D'AGADIR,AGADIR,PP.25.3976.20,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SIGMA PECHE,PORT DE PECHE D'AGADIR,AGADIR,2824,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SILVER FOOD,DOUAR BOUHALA COMMUNE DE SAHEL OULED HARIZ BERRACHID,CASABLANCA,4123,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SIMACOM,"LOT 85 SECTEUR 13S, ZI OUELED SALEH, NOUACEUR-CASABLANCA",CASABLANCA,PEF.7.0230.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
SIMPA,"16 RUE DE TINGHIRT, ROCHE NOIRE, AÏN SEBAA, CASABLANCA ZONE INDUSTRIELLE",CASABLANCA,3711,CONSERVE DE POISSON ET SEMI CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SINGLE FISHERIE EL KHALIFA,ZI LOTS 207 ET 208 DAKHLA,DAKHLA,3458,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SJOVIK MOROCCO S.A,ZONE INDUSTRIELLE ESALAM DAKHLA,DAKHLA,3120,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SMOCO,Z.I HAY ESSALAM DAKHLA,DAKHLA,3110,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOBIFISH,Z.I HAY ESSALAM DAKHLA,DAKHLA,PP.74.0187.18,EVISCERATION ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOCCOPO,"LOT N° 80 ZONE INDUSTRIELLE,PORT DE LAAYOUNE BP 52",LAAYOUNE,2908,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOCIETE DE CONGELATION EL MOSTAKIM,LOT 110 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,PP.71.3335.18,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOCOPTER,PARCELLE 81 NOUVEAU PORT BP 1798 AGADIR,AGADIR,2330,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOGSACO,"ZONE INDUSTRIEL,PORT DE LAAYOUNE",LAAYOUNE,PP.71.0161.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOGENCO I,ROUTE DU JORF EL YOUDI BP 56 SAFI,SAFI,1905,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOGENCO II,ROUTE DU JORF EL YOUDI BP 56 SAFI,SAFI,1638,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOGLAMA,PARCELLE N° 2 NOUVEAU PORT D'AGADIR,AGADIR,6225,SEMI-CONSERVE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOLACOP,NOUVELLE ZI LOT N 87 DAKHLA,DAKHLA,3210,CONGELATION DES PRODUITS DE LA PECHE ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOLICOMA,RUE DE L'OCEAN QUARTIER INDUSTRIEL ANZA AGADIR 80090 AGADIR,AGADIR,4696,"CONGELATION, ETEVISCERATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOLICOMA III,QUARTIER INDUSTRIEL ANZA AGADIR,AGADIR,PEF.25.0177.18,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
SOMAFACO,"KM 10.500 ROUTE D'ELJADIDA, LISSASFA 20230 CASABLANCA",CASABLANCA,1518,CHARCUTERIE A BASE DE SURIMI DE POISSON CONGELE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOMAFISH,"NOT 44 – 46, NOUVEAU PORT D'AGADIR",AGADIR,3665,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, FILETAGE, FUMAGE DU POISSON ISSU DE LA PECHE ET DE L'AQUACULTURE, ENTREPOSAGE ET PREPARARTION DE BURGERS DE POISSONS CONGELES, DE BOULETTES DE POISSON CONGELES ET DU MERGUEZ","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES"
SOMECOP,ZONE INDUSTRIELLE LOTISSEMENT 38 ROUTE DE MARTIL TETOUAN,M'DIQ,1795,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, FILETAGE, SEMI- CONSERVE, CUISSON DE POISSON, DECORTICAGE ET CONGELATION DES OURSINS DE MER, DECORTICAGE DE L'ENGOUSTINE CONGELEE ET PRE-CUISSON ET CONGELATION DES ANEMONES DE MER","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOMECOP 2,NOUVEAU PORT DE TANGER,TANGER,PP.34.0197.19,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOMERPIP II,ZONE INDUSTRIELLE D'EL JADIDA LOT 266,EL JADIDA,4645,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOPCODA,"Z.I. EXTRA PORTUAIRE BP 217, EL OUATIA, TANTAN PLAGE",TAN TAN,3748,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOPIMAS,LOT B 37 Z I PORT DE LAAYOUNE,LAAYOUNE,PP.71.3702.19,CONDITIONNEMENT DES PRODUITS DE LA PECHA A L'ETAT FRAIS ETCONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOSAFRED,ZI ESSALAM DAKHLA,DAKHLA,3282,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOTRA PECHE,NOUVELLE ZI LOT 69 ET 71 DAKHLA,DAKHLA,3363,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOTRAGEL CONGELATION,BP N° 62 ZONE INDUSTRIELLE EL MARSA LAAYOUNE,LAAYOUNE,PP.71.0126.17,"CONDITIONNEMENT POISSON FRAIS, CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
FRESH CORP MOROCCO (SOTRET),"COMMUNE OUELD SEBBAH, HANGAR N°3 EL GARA BERCHID",BERRECHID,PP.59.6092.20,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, ENTREPOSAGE ET PLATS CUISINES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOUFISH,PORT DE PECHE SE BENI ENSAR NADOR,NADOR,PP.50.0196.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOUSS POISSONS,"Avenue Alfarabi, lot D4 ZI Tassila Dceira- Inzegane AIT Melloul",AGADIR,PP.26.0201.19,CONGELATION ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOVAPEC,PORT DE PECHE DE TAN TAN,TAN TAN,4971,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SOZACOP,QI HAY ES SALAM DAKHLA OU NOUVELLE ZI DAKHLA,DAKHLA,2939,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SP.MAR,"Z.I ROUTE DE DJORF EL YOUDI,SAFI",SAFI,PP.52.0107.16,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SUPER CONGEL,QI HAY ES SALAM DAKHLA NOUVELLE ZI,DAKHLA,2921,"ETETAGE, EVISCERATION, CONGELATION DES PETITS PELAGIQUES ET CONDITIONNEMENT DES PRODUITS DE L'AQUACULTURE FRAIS","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SYNEDAKH,ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,PP.74.2599.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
TAJMID FISH,ZI MOULAY RACHID RUE 3 LOT 124 CASABLANCA,CASABLANCA,3746,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
TAM,BD DES ZENETAS ET HASSAN II. MOHAMMEDIA,MOHAMMADIA,2723,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
TAN TAN FRIGO,Lot n° 6 ZONE INDUSTRIELLE HAY ESSALAM DAKHLA,DAKHLA,PP.74.0229.19,"ETETAGE, EVISCERATION ET CONGELATION","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
TARIFET DOS MAR,PORT DE MEHDIA KENITRA,KENITRA,PP.60.0089.16,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
TAYART FRIGO,RUE OUED ESDDAHAB N° 5 DAKHLA,DAKHLA,3224,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
