NOM DE L'ETABLISSEMENT,ADRESSE,PROVINCE/SERVICE PROVINCIAL/PORT D'ATTACHE,NUMERO AGREMENT/AUTORISATION,ACTIVITE DE L'ETABLISSEMENT,TYPE D'ACTIVITE
ASSIETTE NORDIQUE,"Lotissement Saadi, Lot n°6, Quartier Industriel Sidi Bernoussi-Casablanca",CASABLANCA,PP.5.0213.19,"CONDITIONNEMENT DES PRODUITS DE LA PECHE, DES PRODUITS DE L'AQUACULTURE A L'ÉTÉ FRAIS ET CONGELATION, FILETAGE,FUMAGE, DECORTICAGE DES CREVETTES ET CUISSON DES CRUSTACES ET STOCKAGE DES PRODUITS CONGELES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ASSIETTE NORDIQUE ENTREPOSAGE,"Lotissement Saadi, Lot n° 16, Quartier Industriel Sidi Bernoussi-Casablanca",CASABLANCA,PEF.5.0215.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
ASSIETTE OCEANE,"1, Allée de Mandariniers, Bd Chefchaouni, Ain Sbaa -Casablanca",CASABLANCA,PEF.5.0262.20,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
FATIFISH FOOD,ZONE INDUSTRIELLE BOUREGRAG,RABAT,PP.1.0087.16,"CONGELATION DES PRODUITS DE LA PECHE ET DES COQUILLAGES, Conditionnement des produits de la peche a l'etat frais, FILETAGE ET DECORTICAGE DES CREVETTES","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ATLANTIC BLEUE FIN,PORT DE PECHE DE TAN TAN,TAN TAN,PP.68.3592.21,CONGELATION DES CEPHALOPODES ET POISSONS BLANCS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ATLANTIC CONSERVES,ZI AIT MELLOUL .BP 582 AGADIR,AGADIR,3030,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ATLANTIC HOME SARDINES,ZONE INDUSTRIELLE LOT 676 AIT MELLOUL AGADIR,AGADIR,PP.26.0162.18,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ATLANTIC SARDINE ANCHOVIES TAN TAN,QUARTIER INDUSTRIEL ROUTE PRINCIPAL TAN TAN,TAN TAN,3507,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ATLANTIC SEA PRODUCTS,"N° 31, NOUVEAU PORT D’AGADIR",AGADIR,2933,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ATLAS SEAFOOD,40 ANGLE AVENUE ABOUBAKER EL OUAHRANI ET RUE AVIATEUR VITALIS HAY HAY MOHAMMADI CASABLANCA,CASABLANCA,3874,"CONGELATION, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAS ET CONDITIONNEMENT DES PIEDS DE BICHE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ATUNEROS DEL NORTE,PORT M DIQ- M DIQ TETOUAN 3 RUE ELRRAOUI APPT 26 1ER ETAGE TANGER TETOUAN,M'DIQ,1155,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ATUNEROS DEL SUR,"N° 1,2 ZONE INDUSTRIELLE ESSALAM DAKHLA",DAKHLA,PP.74.0041.15,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
AVEIRO MAROC,ZONE INDUSTRIELLE 80152 AIT MELLOUL,AGADIR,1653,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
AYOUB DES POISSONS,N° 138 ZONE INDUSTRIELLE -TETOUAN,TETOUAN,PEF.40.0237.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
AZUL FISH,LOT N° 756 LOTISSEMENT AL MASSAR ROUTE DE SAFI MARRAKECH,MARRAKECH,PEF.19.0094.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
