approval_no,plant_name,company,address,town_region,country,scope,expiry_date
1286,Mindhola Foods LLP,Mindhola Foods LLP,"BLOCK NO. 187/A, MOJE MAKHINGA, TALUKA PALSANA, DISTRICT-SURAT-394315, STATE- GUJARAT, INDIA",STATE- GUJARAT,India,Packing of Fresh / Chilled Fish & Fishery Products and Frozen (Block / IF-Blast and IQF- Brine Freezing) Raw / Marinated Fish & Fishery Products (Including Aquaculture),29/04/2026
1287,Shivganga Marine Products Unit-II,Shivganga Marine Products Unit-II,"Plot No.1314, G.I.D.C Estate, Veraval- 362269, Gujarat â?? India,",Veraval- 362269,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/ BLAST-IF) (EXCLUDING AQUACULTURE),16/06/2027
1289,Real Frozen Foods,Real Frozen Foods,"Plot No.105/2,G.I.D.C.,Estate, Veraval-362269,Gujarat,India,",Gujarat,India,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IF) (EXCLUDING AQUACULTURE),25/08/2027
1290,Sun Marine Export,Sun Marine Export,"Plot No. 1312, G.I.D.C Estate, Veraval-362269, Gujarat, India",Gujarat,India,FREEZING OF RAW./BLANCHED/COOKED FISH & FISHERY PRODUCTS (BLOCK/IQF/IF-BLAST)(INCLUDING AQUACULTURE),21/08/2027
1302,S.A.EXPORTS,S.A.EXPORTS,"Kamduni More, P.O. Kamduni Khoribari, P.S. Barasat,District- 24 Parganas(North), Kolkata-700135",District- 24 Parganas(North),India,"Packing of Raw Fresh Chilled, Freezing of Raw / Blanched / Cooked Fish and Fishery Products (Block Frozen & IQF)",15/04/2026
1303,DIGHA SEAFOOD EXPORTS PVT. LTD.,DIGHA SEAFOOD EXPORTS PVT. LTD.,"Unit No. 7, International Seafood Processing Centre, Benfish Complex, Chakgaria, Budher Hat, 24 Parganas (South), Kolkata-700094, West Bengal",Kolkata-700094,India,"Freezing of Raw Fish & Fishery Products (Block/IQF), Freezing of Cooked Fish and Fishery Products (IQF) - Shrimps (Aquaculture/Sea caught/Wild caught) & Cephalopods",23/07/2027
1304,K.N.C. AGRO LIMITED,K.N.C. AGRO LIMITED,"UTTARSITALA, PO- PICHABONI, PS- RAMNAGAR, DIST PURBA MEDINIPUR, WEST BENGAL, 721455",WEST BENGAL,India,Freezing of Raw / Blanched / Cooked Fish & Fishery Products (Block Frozen & IQF),03/03/2028
1305,BASU INTERNATIONAL (UNIT III),BASU INTERNATIONAL (UNIT III),"34, CHAULPATTI ROAD, KOLKATA-700010, WEST BENGAL",KOLKATA-700010,India,Packing of Fresh/Chilled Fish & Fishery Products,27/03/2028
1311,SWARNALI EXPORTS,SWARNALI EXPORTS,"DIGHRA, P.O.DUTTAPUKUR, P.S. ASHOKENAGAR, NORTH 24 PGS WEST BENGAL- 743248, INDIA",NORTH 24 PGS WEST BENGAL- 743248,India,PROCESSING OF FRESH AND CHILLED FISH/FISHERY PRODUCT,12/06/2027
1312,ALASHORE MARINE EXPORTS PVT. LTD.,ALASHORE MARINE EXPORTS PVT. LTD.,"Plot No.D1/18(P), D1/19,D1/20, D1/37, D1/38, D1/39 (P), Somnathapur Industrial Area, Balasore, Odisha, Pin-756019",Odisha,India,Freezing of Raw Fish & Fishery Products (IQF) -Shrimps (Aquaculture/Sea caught/Wild caught),01/08/2027
1314,S.S.SEA FOOD PVT. LTD.,S.S.SEA FOOD PVT. LTD.,"RUIYA, PO-PATULIA, PS-KHARDHA, DIST-24 PARGANAS (NORTH), KOLKATA-700119, WEST BENGAL",KOLKATA-700119,India,"Packing of raw fresh chilled , Freezing of Raw fish & Fishery products(Block Frozen/IQF & IF-Blast Frozen)-Fishes (Non-Histamine & Histamine forming), Shrimps (Aquaculture/Sea Caught/Wild caught) Crab (Sea Caught) & Cephalopods",18/06/2027
1315,ESSEX MARINE PRIVATE LIMITED,ESSEX MARINE PRIVATE LIMITED,"Village - Kuliatta, PO & PS : Ramnagar, Dist.: Purba Midnapur, Pin - 721441, West Bengal",Pin - 721441,India,Packing of Fresh/Chilled Fish & Fishery Products and Raw Frozen Fish & Fishery Products (Block Frozen & Individually Frozen & IQF),28/06/2027
1318,Padmashree Export,Padmashree Export,"Plot No 274, Champajhara, P.O.Malpada-752018, Dist::Khordha, Odisha",Dist::Khordha,India,Freezing of Raw Fish & Fishery products(Block Frozen/IQF) -Aquaculture/Sea caught/Wild Caught- Crustaceans only.,21/06/2028
